timestamp,open,high,low,close
2020-07-03 20:55:00,1.1246,1.1252,1.1240,1.1246
2020-07-03 20:50:00,1.1243,1.1248,1.1236,1.1246
2020-07-03 20:45:00,1.1250,1.1251,1.1241,1.1242
2020-07-03 20:40:00,1.1246,1.1251,1.1245,1.1250
2020-07-03 20:35:00,1.1246,1.1251,1.1242,1.1248
2020-07-03 20:30:00,1.1245,1.1248,1.1243,1.1246
2020-07-03 20:25:00,1.1244,1.1247,1.1243,1.1243
2020-07-03 20:20:00,1.1245,1.1246,1.1243,1.1244
2020-07-03 20:15:00,1.1245,1.1246,1.1243,1.1245
2020-07-03 20:10:00,1.1244,1.1247,1.1243,1.1245
2020-07-03 20:05:00,1.1244,1.1247,1.1243,1.1245
2020-07-03 20:00:00,1.1244,1.1245,1.1242,1.1244
2020-07-03 19:55:00,1.1242,1.1245,1.1241,1.1244
2020-07-03 19:50:00,1.1243,1.1244,1.1237,1.1243
2020-07-03 19:45:00,1.1244,1.1244,1.1242,1.1243
2020-07-03 19:40:00,1.1243,1.1244,1.1242,1.1244
2020-07-03 19:35:00,1.1244,1.1244,1.1242,1.1243
2020-07-03 19:30:00,1.1243,1.1245,1.1242,1.1243
2020-07-03 19:25:00,1.1242,1.1245,1.1241,1.1244
2020-07-03 19:20:00,1.1243,1.1243,1.1241,1.1243
2020-07-03 19:15:00,1.1243,1.1244,1.1241,1.1242
2020-07-03 19:10:00,1.1243,1.1244,1.1241,1.1243
2020-07-03 19:05:00,1.1243,1.1244,1.1242,1.1243
2020-07-03 19:00:00,1.1243,1.1246,1.1242,1.1243
2020-07-03 18:55:00,1.1243,1.1246,1.1242,1.1244
2020-07-03 18:50:00,1.1242,1.1245,1.1241,1.1244
2020-07-03 18:45:00,1.1243,1.1245,1.1241,1.1242
2020-07-03 18:40:00,1.1243,1.1244,1.1241,1.1243
2020-07-03 18:35:00,1.1243,1.1245,1.1239,1.1243
2020-07-03 18:30:00,1.1243,1.1244,1.1242,1.1243
2020-07-03 18:25:00,1.1244,1.1244,1.1242,1.1243
2020-07-03 18:20:00,1.1243,1.1245,1.1242,1.1244
2020-07-03 18:15:00,1.1244,1.1246,1.1241,1.1243
2020-07-03 18:10:00,1.1244,1.1246,1.1242,1.1244
2020-07-03 18:05:00,1.1243,1.1244,1.1242,1.1244
2020-07-03 18:00:00,1.1243,1.1245,1.1240,1.1243
2020-07-03 17:55:00,1.1243,1.1245,1.1240,1.1243
2020-07-03 17:50:00,1.1243,1.1244,1.1240,1.1243
2020-07-03 17:45:00,1.1243,1.1244,1.1241,1.1243
2020-07-03 17:40:00,1.1242,1.1243,1.1241,1.1243
2020-07-03 17:35:00,1.1242,1.1242,1.1240,1.1242
2020-07-03 17:30:00,1.1240,1.1243,1.1239,1.1241
2020-07-03 17:25:00,1.1240,1.1241,1.1239,1.1240
2020-07-03 17:20:00,1.1241,1.1241,1.1237,1.1240
2020-07-03 17:15:00,1.1243,1.1244,1.1240,1.1240
2020-07-03 17:10:00,1.1244,1.1244,1.1242,1.1243
2020-07-03 17:05:00,1.1243,1.1245,1.1241,1.1244
2020-07-03 17:00:00,1.1242,1.1243,1.1240,1.1243
2020-07-03 16:55:00,1.1241,1.1243,1.1239,1.1242
2020-07-03 16:50:00,1.1244,1.1245,1.1240,1.1241
2020-07-03 16:45:00,1.1241,1.1245,1.1241,1.1244
2020-07-03 16:40:00,1.1243,1.1244,1.1240,1.1241
2020-07-03 16:35:00,1.1242,1.1244,1.1240,1.1242
2020-07-03 16:30:00,1.1241,1.1243,1.1239,1.1242
2020-07-03 16:25:00,1.1238,1.1243,1.1238,1.1241
2020-07-03 16:20:00,1.1236,1.1240,1.1235,1.1239
2020-07-03 16:15:00,1.1237,1.1238,1.1234,1.1237
2020-07-03 16:10:00,1.1242,1.1242,1.1236,1.1237
2020-07-03 16:05:00,1.1243,1.1243,1.1240,1.1242
2020-07-03 16:00:00,1.1243,1.1244,1.1240,1.1241
2020-07-03 15:55:00,1.1243,1.1244,1.1241,1.1243
2020-07-03 15:50:00,1.1243,1.1243,1.1241,1.1243
2020-07-03 15:45:00,1.1242,1.1245,1.1240,1.1242
2020-07-03 15:40:00,1.1242,1.1243,1.1239,1.1242
2020-07-03 15:35:00,1.1243,1.1245,1.1241,1.1242
2020-07-03 15:30:00,1.1243,1.1245,1.1240,1.1243
2020-07-03 15:25:00,1.1241,1.1243,1.1239,1.1243
2020-07-03 15:20:00,1.1242,1.1244,1.1239,1.1241
2020-07-03 15:15:00,1.1244,1.1246,1.1242,1.1243
2020-07-03 15:10:00,1.1244,1.1245,1.1242,1.1243
2020-07-03 15:05:00,1.1243,1.1246,1.1241,1.1243
2020-07-03 15:00:00,1.1241,1.1245,1.1239,1.1243
2020-07-03 14:55:00,1.1242,1.1244,1.1239,1.1242
2020-07-03 14:50:00,1.1246,1.1248,1.1239,1.1242
2020-07-03 14:45:00,1.1243,1.1248,1.1241,1.1245
2020-07-03 14:40:00,1.1241,1.1246,1.1238,1.1244
2020-07-03 14:35:00,1.1240,1.1241,1.1234,1.1241
2020-07-03 14:30:00,1.1241,1.1244,1.1238,1.1240
2020-07-03 14:25:00,1.1241,1.1244,1.1239,1.1242
2020-07-03 14:20:00,1.1243,1.1244,1.1239,1.1242
2020-07-03 14:15:00,1.1240,1.1244,1.1238,1.1243
2020-07-03 14:10:00,1.1241,1.1242,1.1238,1.1240
2020-07-03 14:05:00,1.1241,1.1243,1.1238,1.1240
2020-07-03 14:00:00,1.1237,1.1241,1.1234,1.1240
2020-07-03 13:55:00,1.1235,1.1238,1.1232,1.1237
2020-07-03 13:50:00,1.1236,1.1237,1.1232,1.1236
2020-07-03 13:45:00,1.1238,1.1239,1.1233,1.1235
2020-07-03 13:40:00,1.1235,1.1238,1.1232,1.1238
2020-07-03 13:35:00,1.1234,1.1235,1.1231,1.1233
2020-07-03 13:30:00,1.1231,1.1235,1.1229,1.1233
2020-07-03 13:25:00,1.1231,1.1233,1.1228,1.1232
2020-07-03 13:20:00,1.1231,1.1231,1.1227,1.1231
2020-07-03 13:15:00,1.1230,1.1232,1.1228,1.1231
2020-07-03 13:10:00,1.1227,1.1230,1.1226,1.1229
2020-07-03 13:05:00,1.1229,1.1230,1.1224,1.1228
2020-07-03 13:00:00,1.1229,1.1232,1.1227,1.1229
2020-07-03 12:55:00,1.1229,1.1230,1.1227,1.1229
2020-07-03 12:50:00,1.1229,1.1230,1.1226,1.1228
2020-07-03 12:45:00,1.1229,1.1231,1.1227,1.1229
2020-07-03 12:40:00,1.1227,1.1230,1.1225,1.1228
